"","subject_id","total_cell_count"
"1","X2013.12.02",4
"2","X2013.12.03",7
"3","X2013.11.05",1
"4","X2013.11.21",1
"5","X2015.06.16",4
"6","X2015.06.18",1
"7","X2015.06.22",6
"8","X2015.07.23",2
"9","X2015.08.20",2
"10","X2015.10.08",9
"11","X2013.12.11",12
"12","X2014.01.27",11
"13","X2016.01.28",3
"14","X2016.02.04",8
"15","X2016.02.29",2
"16","X2016.03.01",2
"17","X2014.05.20",2
"18","X2014.06.24",5
"19","X2014.06.26",2
"20","X2014.09.11",2
"21","X2014.09.18",8
"22","X2014.11.03",2
"23","X2015.03.02",1
"24","X2015.03.30",3
"25","X2015.04.20",3
"26","X2015.11.09",7
"27","X2016.02.25",6
"28","X2016.03.03",4
"29","X2014.03.04",2
"30","X2014.03.17",4
"31","X2014.03.18",1
"32","X2014.12.02",4
"33","X2014.12.18",4
"34","X2015.01.05",8
"35","X2019.01.22",4
"36","X2019.01.29",11
