,apical,cell_soma_location,dendrite_type,disease_state,specimen_id,name,reconstruction_type,reporter_status,species,structure_area_abbrev,structure_area_id,structure_layer_name,transgenic_line,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,id_x,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheobase_sweep_id,rheobase_sweep_number,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,hero_first_last_adratio,hero_first_mean_adratio,hero_isi_cv,hero_second_last_adratio,max_rate_first_last_adratio,max_rate_first_mean_adratio,max_rate_isi_cv,max_rate_long_square,max_rate_second_last_adratio,rheo_first_spike_hw,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id_y,max_branch_order,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,superseded,tags,total_length,total_surface,total_volume
0,intact,"[273.0, 354.0, 216.0]",spiny,epilepsy,525011903,H16.03.003.01.14.02,,,Homo Sapiens,FroL,12113,3,,0.0278459596639436,73.6783333333333,8.17249913576124,0.1671875,1.11848,4.1058533333333305,1.02517333333333,-53.875003814697294,-58.83333714803061,-56.6354179382324,False,False,False,525097092,232.35252799999998,0.0417000000000001,1.11668,4.10410666666667,1.02354,42.1562538146973,39.2187538146973,41.020835876464794,525031831,40,159.53113138675698,0.128440782427788,1.125671168,1.14262,4.13498666666667,,-53.468753814697294,-59.510420481363894,,90.0,77.0833333333333,590.0,1.11614,4.10354,1.02306666666667,-40.6250038146973,-45.4166679382324,-49.916670481363894,525031835,1.11856,4.13498666666667,1.37525333333333,-53.968753814697294,-59.510420481363894,-71.1979192097982,2.89546090494073,2.55987565805174,3.0997871420362904,-88.84375762939449,-70.56103515625,0.5381177054879551,0.5882326328409518,0.14340895613300048,0.8338713682642173,0.34039087947882685,0.40992951271835903,0.17368805279677707,25.0,0.574918566775242,0.0008599999999998609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NA,"[8966.56330957526, 1429.52689052075, 8567.389672505]",aspiny,,565871768,Oxtr-2A-Cre;Ai14-293837.03.01.02,,positive,Mus musculus,VISp,385,5,Oxtr-T2A-Cre,,,-2.82499978271344,0.0203836930455635,1.0725,14.737979999999999,1.0238399999999999,-59.1875,-57.4375,-62.600003814697295,False,False,False,565878140,143.634288,0.0271400000000002,1.0717,14.7372,1.023084,35.3750038146973,31.34375,34.6625007629395,565873227,40,119.977675378323,0.0540332049131393,1.317484032,,,,,,,270.0,343.125,800.0,1.07138,14.736820000000002,1.022784,-36.28125,-33.8125,-43.5000022888184,565873236,1.07254,14.738,1.391268,-59.281253814697294,-57.468753814697294,-75.75625152587891,1.56402714119508,1.30434869895729,1.67955043379558,-87.90625762939449,-74.92698669433591,,,,,0.7303754266211411,0.8441814595660683,0.127225305509451,4.0,0.8651877133105516,0.00043999999999999595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NA,"[7872.53138541818, 993.212032389272, 3127.15304714108]",aspiny,,469801138,Pvalb-IRES-Cre;Ai14-170927.05.02.01,,positive,Mus musculus,VISp,385,4,Pvalb-IRES-Cre,0.0006425880583098639,12.5075,27.1856252787028,1.1567885117493502,1.272425,11.763725,1.02335,-55.687503814697294,-52.390625,-57.546876907348604,False,False,False,469802615,129.903104,0.01187,1.2717100000000001,11.7630225,1.0228125,14.8437509536743,19.0000019073486,27.546875953674302,469802064,57,65.6249970197678,0.0965977758169174,1.044560512,,,1.290815,,,-69.1093788146973,290.0,268.5625,270.0,1.27139,11.7627075,1.0225725,-31.7812519073486,-29.187500953674302,-44.046875,469802050,1.27254,11.7638075,1.290815,-55.875,-52.515626907348604,-69.1093788146973,1.1626183569473798,1.1971554891693799,1.3691713594909498,-80.15625,-72.0429763793945,0.9076175040518543,0.8954627223665879,0.12224996687383385,0.8533225283630246,0.6838407494145284,0.7410309216058576,0.10347974986307995,169.0,0.7790788446526237,0.00034999999999985043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NA,"[69.0, 254.0, 96.0]",aspiny,epilepsy,528642047,H16.06.009.01.02.06.05,,,Homo Sapiens,MTG,12141,5,,0.00160997020178726,12.9123684210526,-9.40999968918055,0.7350927246790301,1.03348,,1.0249700000000002,-67.125,,-67.0156269073486,False,False,False,660970840,363.359936,0.00644,1.03206,,1.02347,22.40625,,25.2109394073486,528643664,27,201.562687754631,0.143403068184853,1.200419328,,,,,,,90.0,,260.0,1.03164,,1.023065,-45.250003814697294,,-46.8906278610229,528643671,1.0339399999999999,,1.05116,-67.4687576293945,,-70.87500190734859,1.8918809380004902,,1.9896159023199498,-101.0,-69.2096099853516,0.7840579710145071,0.8379562638840806,0.08860294158490453,0.8043478260869593,0.7509433962264318,0.8208840538682378,0.10595455809655363,103.0,0.7981132075472035,0.0005800000000000249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NA,"[9400.0, 1520.74232706376, 2188.13845194139]",aspiny,,605889373,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337419.03.02.01,,positive,Mus musculus,VISp,385,2/3,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,-0.015097529619921002,78.9509090909091,17.4375010958405,0.19185329926348998,1.8798400000000002,8.42789333333333,1.0274366666666699,-47.093753814697294,-51.4479192097982,-55.989585876464794,False,False,False,605903794,173.215264,0.0747200000000001,1.8749,8.4234,1.02352333333333,16.78125,23.0520839691162,27.7708349227905,605897449,53,102.968707680702,0.0304601192474365,2.283348992,,8.432939999999999,,,-54.364585876464794,,280.0,185.083333333333,720.0,1.8742599999999998,8.422880000000001,1.02312666666667,-28.7812519073486,-32.3125025431315,-38.1979179382324,605897441,1.88274,8.432939999999999,1.31551,-48.1875,-54.364585876464794,-72.6406275431315,3.3793210646802097,4.10877446032496,2.68013894969583,-83.5937576293945,-72.7120361328125,1.3525896414342595,1.204039333993505,0.13893966958485346,1.351166761525327,0.4696741854636607,0.5375788869764766,0.14575205615887718,29.0,0.6541353383458678,0.0013199999999999878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,truncated,"[322.0, 255.0, 92.0]",spiny,epilepsy,537256313,H16.03.006.01.05.02,,,Homo Sapiens,MTG,12141,4,,0.0547842349457087,77.4,-50.5025014863048,0.22919501133786802,1.22268,5.67698666666667,1.024908,-48.8125,-51.11458714803061,-51.8187507629395,False,False,False,537284095,129.869152,0.07006,1.22068,5.67502666666667,1.023444,39.40625,39.6458346048991,36.0375,537265969,45,127.232253551483,0.0916207209229469,0.9666191999999999,1.3653,,,-52.125003814697294,,,70.0,116.374997456868,750.0,1.2201799999999998,5.67452666666667,1.023036,-37.34375,-40.645835876464794,-45.73750305175779,537265947,1.3653,5.69454666666667,1.3899,-52.125003814697294,-51.520835876464794,-72.9000015258789,3.1211816215221,3.46452807634467,3.0546809499193994,-87.53125,-72.6281051635742,0.25845410628019433,0.2764857881136962,0.2269727640463784,0.9219806763285034,0.16879951249237976,0.2023543653858151,0.2138964268267272,36.0,0.2723948811700179,0.0008399999999999519,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,intact,"[8881.0, 953.839501299405, 7768.22695782726]",spiny,,485909730,Cux2-CreERT2;Ai14-205530.03.02.01,dendrite-only,positive,Mus musculus,VISp,385,5,Cux2-CreERT2,0.0323396179505003,55.895,-55.9643789643793,0.25,1.112495,2.85337666666667,1.02516166666667,-49.000003814697294,-51.989585876464794,-56.588544845581104,False,False,False,485911653,204.189664,0.0386850000000001,1.109795,2.85131166666667,1.02342166666667,17.2500019073486,42.8958346048991,35.1093765894572,485910203,33,213.124960660934,0.029558127745986,2.166797056,1.13907,2.88813333333333,1.5201933333333302,-54.031253814697294,-57.3854192097982,-77.7500038146973,70.0,45.7499987284342,180.0,1.109235,2.8508916666666697,1.0230475,-40.6250038146973,-38.9687525431315,-47.6197942097982,485910207,1.13907,2.88813333333333,1.5201933333333302,-54.031253814697294,-57.3854192097982,-77.750005086263,3.04293347960074,3.5176844004207903,3.2741808661668803,-101.0,-76.9283905029297,0.37684441699265614,0.49118883621075243,0.21489258426202404,0.5496534211790549,0.37684441699265614,0.49118883621075243,0.21489258426202404,17.0,0.5496534211790549,0.0009299999999998754,65.8895010514347,,0.891127894162828,0.388753256220719,50.97222222222221,0.844376941289302,,500961528.0,6.0,504.238311017079,dendrite-only,18.0,43.0,1910.0,7.0,25.0,100.5354,561.344690930773,215.59200440090302,0.1144,0.1144,0.28,245.60651214867298,False,3D Neuron Reconstruction morphology,2295.96496541343,2791.6911145784197,308.451081279415
7,intact,"[8125.0, 904.841803028986, 7819.69986630448]",spiny,,323865917,Scnn1a-Tg3-Cre;Ai14-172530.06.01.01,dendrite-only,positive,Mus musculus,VISp,385,5,Scnn1a-Tg3-Cre,0.0267317211648439,94.2335,96.4218704879727,0.16428571428571398,1.197855,3.4231,1.02448916666667,-47.75,-48.3125012715658,-53.208335240682004,False,False,False,396487207,178.177008,0.056125,1.1963549999999998,3.42154166666667,1.02310833333333,43.9375,47.3333333333333,41.5885429382324,396366865,34,166.250005364418,0.166221499443054,2.238012672,1.2370649999999999,3.4678466666666696,1.31704166666667,-57.281253814697294,-56.8958333333333,-70.2187512715658,70.0,60.0416679382324,750.0,1.19593,3.421125,1.02275833333333,-36.84375,-37.53125,-43.1093756357829,396366869,1.2370649999999999,3.4678466666666696,1.31704166666667,-57.281253814697294,-56.8958333333333,-70.2187512715658,2.97419423435741,3.15611737377991,2.94646278376885,-88.40625,-69.40285491943361,0.617445968889093,0.7139711461422954,0.1155566235545231,0.7759831138438944,0.3685372585096586,0.457562353332087,0.1672976579403398,23.0,0.5964121435142596,0.0006850000000000467,62.293883006753,,0.8767203343516329,0.6483561509141711,43.3529411764706,0.8832488792818609,,492413272.0,8.0,583.881940106166,dendrite-only,35.0,76.0,3004.0,6.0,41.0,72.3976,617.333004320437,254.722210224279,0.1144,0.1144,0.28,587.267053200988,False,3D Neuron Reconstruction morphology,3472.9284244274895,7086.903748270551,1324.5378198912
8,NA,"[8294.0, 828.8846152563, 3320.65602051487]",aspiny,,583836069,Htr3a-Cre_NO152;Ai14-314135.05.02.02,,positive,Mus musculus,VISp,385,2/3,Htr3a-Cre_NO152,,12.5,-17.5949983749479,0.0292989421736461,1.0383200000000001,,1.024535,-48.593753814697294,,-51.6328153610229,False,False,False,585127070,268.82377599999995,0.00878000000000001,1.03718,,1.023475,23.6250019073486,,26.9843754768372,585112733,28,233.281165361404,0.37084090709686296,1.09139328,,,,,,,110.0,,280.0,1.03682,,1.023155,-32.53125,,-41.265625953674295,585113330,1.0383200000000001,,1.38078,-48.593753814697294,,-63.257814407348604,2.13231571411621,,2.18556437832251,-87.65625,-62.055580139160206,,,,,0.44954128440368507,0.6366392377652813,0.23767374017484766,7.0,0.664220183486236,0.00048000000000003595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,intact,"[9022.31795341815, 1034.01756171273, 3750.09609106139]",spiny,,504615116,Rorb-IRES2-Cre-D;Ai14-234241.04.02.01,,positive,Mus musculus,VISp,385,5,Rorb-IRES2-Cre,0.0147999527962489,92.074,43.2075000778021,0.17767123287671202,1.18116,3.36792666666667,1.025052,-45.843753814697294,-47.145835876464794,-51.700002288818396,False,False,False,504618465,214.522896,0.0487600000000001,1.1785,3.3657133333333302,1.023368,45.562503814697294,48.5520833333333,45.9250015258789,504616757,42,164.06252980232202,0.21957010030746502,1.727256704,1.23708,3.43060666666667,1.105444,-57.281253814697294,-56.4062525431315,-70.53750152587891,70.0,58.625,720.0,1.17808,3.3653,1.023028,-38.0937538146973,-38.6979179382324,-45.3062515258789,504616761,1.23708,3.43060666666667,1.105444,-57.281253814697294,-56.4062525431315,-70.53750152587891,4.05999460039471,4.12174537888852,4.0172443246066,-87.09375762939449,-69.3629837036133,0.7656877244876371,0.78719291005061,0.08051777039000496,0.9374603845341207,0.43446039833256395,0.4898683935659104,0.1374917964229914,26.0,0.6743862899490514,0.0007600000000000939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
