"","abf_name","cell_ID","X","trial","center_freq","X3dB_freq","res_sharpness","file_time"
"1","15312093.abf","9",10,"avg",0,0,0,"2015-03-12 15:47:22.528"
"2","14d02005.abf","4",59,"avg",0,0,0,"2014-12-02 14:42:43.376"
"3","14624360.abf","9",117,"avg",0.956556556556556,7.82892892892893,1.04577322921924,"2014-06-24 16:41:16.993"
"4","14605377.abf","7",131,"avg",0,0,0,"2014-06-05 18:16:35.219"
"5","15127044.abf","19",497,"avg",1.07607607607608,17.0717717717718,1.00837897363554,"2015-01-27 16:33:56.263"
"6","14224322.abf","3",537,"avg",1.15575575575576,7.86876876876877,1.24717065226027,"2014-02-24 16:17:40.432"
"7","14d16140.abf","13",567,"avg",0,0,0,"2014-12-16 19:38:03.941"
"8","2020_01_06_0066.abf","2020_01_06_0065",778,"avg",0,0,0,"2020-01-06 18:43:18.062"
"9","2020_01_06_0031.abf","2020_01_06_0030",785,"avg",0,0,0,"2020-01-06 14:21:48.156"
"10","2016_02_25_0009.abf","2016_02_25_0007",1053,"avg",0,0,0,"2016-02-25 12:44:23.265"
"11","2016_02_25_0088.abf","2016_02_25_0082",1064,"avg",0,0,0,"2016-02-25 14:07:18.531"
"12","2016_03_03_0078.abf","2016_03_03_0100",1166,"avg",0,0,0,"2016-03-03 14:51:33.781"
"13","2016_03_01_0129.abf","6",1198,"avg",0,0,0,"2016-03-01 17:06:32.484"
"14","2016_03_01_0078.abf","2016_03_01_0047",1208,"avg",0,0,0,"2016-03-01 15:47:12.609"
"15","2016_02_25_0156.abf","2016_02_25_0134",1227,"avg",0,0,0,"2016-02-25 14:42:10.187"
"16","2019_11_28_0008.abf","2019_11_28_0007",1268,"avg",1.01631631631632,9.0042042042042,1.07631181254741,"2019-11-28 12:37:14.593"
"17","2020_01_06_0026.abf","2020_01_06_0030",1278,"avg",0,0,0,"2020-01-06 14:05:44.640"
"18","19319032.abf","35",1363,"avg",0,0,0,"2019-03-19 17:37:44.953"
"19","19228080.abf","34",1374,"avg",0,0,0,"2019-02-28 19:32:35.953"
"20","19228063.abf","33",1397,"avg",0,0,0,"2019-02-28 18:44:28.578"
"21","2019_11_26_0067.abf","16",1477,"avg",0,0,0,"2019-11-26 16:59:17.796"
"22","2016_02_29_0005.abf","1",1515,"avg",0,0,0,"2016-02-29 14:19:48.359"
"23","2016_02_29_0043.abf","10",1525,"avg",0,0,0,"2016-02-29 15:35:23.203"
"24","19228031.abf","31",1581,"avg",0,0,0,"2019-02-28 16:21:56.375"
"25","17032014_0010.abf","3",1636,"avg",0,0,0,"2014-03-17 12:41:26.801"
"26","2019_11_04_0114.abf","13",1656,"avg",0,0,0,"2019-11-04 17:22:58.562"
