"","cell_id","layer_name","cell_type","recorder_name","subject_id","acquisition_time","rmp","voltage_drift","has_morphology","tag_comments","has_burst"
"1","13n05011.abf","L5","Pyr","Homeira","X2013.11.05","2013-11-05 17:06:16.448",-54.9377415312223,0.158688796847294,FALSE,"",FALSE
"2","13n21007.abf","L5","Pyr","Homeira","X2013.11.21","2013-11-21 14:30:46.356",-59.158322385443,3.677365354193,FALSE,"",FALSE
"3","13d02004.abf","L5","Pyr","Homeira","X2013.12.02","2013-12-02 15:47:42.278",-59.069821413084,2.288815553709,FALSE,"",FALSE
"4","13d02022.abf","L5","Pyr","Homeira","X2013.12.02","2013-12-02 17:09:07.433",-64.4287078773006,1.04980162730061,FALSE,"",FALSE
"5","13d02049.abf","L5","Pyr","Homeira","X2013.12.02","2013-12-02 18:21:58.566",-57,1.7890625,FALSE,"gain50 resting -57mv",FALSE
"6","13d03005.abf","L5","Pyr","Homeira","X2013.12.03","2013-12-03 12:13:09.804",-63.714596583094,2.98461611434399,FALSE,"",TRUE
"7","13d03007.abf","L5","Pyr","Homeira","X2013.12.03","2013-12-03 12:59:10.191",-56.4636203649969,3.7109348181219,FALSE,"",FALSE
"8","13d03040.abf","L5","Pyr","Homeira","X2013.12.03","2013-12-03 13:29:28.194",-60,1.23046875,FALSE,"resting -60mv gain 50",FALSE
"9","13d03008.abf","L5","Pyr","Homeira","X2013.12.03","2013-12-03 14:50:32.511",-59.3200655418231,3.8024874168231,FALSE,"",FALSE
"10","20131211_600_1_0002.abf","L5","Pyr","Homeira","X2013.12.11","2013-12-11 12:43:53.863",-62.3596161787022,1.4404267255772,FALSE,"",FALSE
"11","20131211_600_1_0042.abf","L5","Pyr","Homeira","X2013.12.11","2013-12-11 13:21:35.298",-59.2,0.736523437499997,FALSE,"gain 50, resting -59.2mv",FALSE
"12","20131211_600_1_0066.abf","L5","Pyr","Homeira","X2013.12.11","2013-12-11 13:40:48.266",-70.1415982309529,1.17187166845291,FALSE,"",FALSE
"13","20131211_600_1_0067.abf","L5","Pyr","Homeira","X2013.12.11","2013-12-11 13:57:46.935",-58.4,0.358544921875001,FALSE,"gain 50, resting -58.4mv",TRUE
"14","20131211_600_1_0081.abf","L5","Pyr","Homeira","X2013.12.11","2013-12-11 14:09:53.241",-59.4,0.432763671875001,FALSE,"gain 50, resting -59.4mv",FALSE
"15","20131211_600_1_0108.abf","L5","Pyr","Homeira","X2013.12.11","2013-12-11 14:51:02.757",-65,2.49267578125,FALSE,"gain 50, resting -65mv",FALSE
"16","20131211_600_1_0160.abf","L5","Pyr","Homeira","X2013.12.11","2013-12-11 16:22:28.296",-62,0.897705078125,FALSE,"gain 50 resting -62mv",FALSE
"17","20131211_600_1_0184.abf","L5","Pyr","Homeira","X2013.12.11","2013-12-11 16:44:04.782",-62.6220673381114,6.06537162673235,FALSE,"",FALSE
"18","20131211_600_1_0190.abf","L5","Pyr","Homeira","X2013.12.11","2013-12-11 16:57:54.480",-67.8,0.0326660156249972,FALSE,"gain 50, resting -67.8mv",FALSE
"19","20140127_600_1_0118.abf","L5","Pyr","Homeira","X2014.01.27","2014-01-27 16:12:34.042",-65,1.259765625,FALSE,"rest -65mv, gain 50, current clamp",FALSE
"20","20140127_600_1_0158.abf","L5","Pyr","Homeira","X2014.01.27","2014-01-27 17:21:47.773",-72.2839321135724,2.1911586760724,FALSE,"",FALSE
"21","14304300.abf","L2.3","Pyr","Lihua","X2014.03.04","2014-03-04 16:55:27.065",-63.3850111823904,1.43432758864039,FALSE,"",FALSE
"22","14306300.abf","L2.3","Int","Lihua","X2014.03.06","2014-03-06 11:44:39.292",-72,1.91357421875,FALSE,"",FALSE
"23","14317300.abf","L2.3","Pyr","Lihua","X2014.03.17","2014-03-17 11:58:50.675",-74.8138444456572,0.67138839096971,FALSE,"",FALSE
"24","14317320.abf","L2.3","Pyr","Lihua","X2014.03.17","2014-03-17 13:26:41.884",-73.989869817865,0.289918645989999,FALSE,"",FALSE
"25","14317333.abf","L2.3","Pyr","Lihua","X2014.03.17","2014-03-17 15:25:32.402",NA,0.579833984375,FALSE,"",FALSE
"26","14317348.abf","L2.3","Pyr","Lihua","X2014.03.17","2014-03-17 18:05:31.216",-73.364259452319,1.0223405070065,FALSE,"",FALSE
"27","14318308.abf","L2.3","Pyr","Lihua","X2014.03.18","2014-03-18 19:46:33.345",-72.7691666655801,1.51062174370509,FALSE,"",TRUE
"28","14408304.abf","L2.3","Pyr","Lihua","X2014.04.08","2014-04-08 14:20:11.687",-77.3010271184376,4.0130632512501,FALSE,"",FALSE
"29","14424000.abf","L5","Pyr","Lihua","X2014.04.22","2014-04-24 12:25:53.319",-74.0356461860756,1.65482559566499e-06,FALSE,"",FALSE
"30","14424329.abf","L5","Pyr","Lihua","X2014.04.22","2014-04-24 15:41:53.754",-74.0203873966721,0.381471381047092,FALSE,"",FALSE
"31","14424335.abf","L5","Pyr","Lihua","X2014.04.22","2014-04-24 16:49:04.795",-72.2198502470519,1.61423940880923e-06,FALSE,"",FALSE
"32","14515300.abf","L5","Pyr","Lihua","X2014.05.15","2014-05-15 12:26:54.655",-69.7631851530787,1.55932869461139e-06,FALSE,"",FALSE
"33","14515323.abf","L5","Pyr","Lihua","X2014.05.15","2014-05-15 12:46:30.686",-68.7255874736366,2.19726716113659,FALSE,"",FALSE
"34","14515374.abf","L5","Pyr","Lihua","X2014.05.15","2014-05-15 14:51:20.718",-66.7236343038894,0.378419460139398,FALSE,"",FALSE
"35","14515399.abf","L5","Pyr","Lihua","X2014.05.15","2014-05-15 16:24:09.155",-76.5,0.739990234375,FALSE,"",TRUE
"36","14520300.abf","L5","Pyr","Lihua","X2014.05.20","2014-05-20 12:55:08.907",-75.1037614443249,1.6786999026408e-06,FALSE,"",FALSE
"37","14520332.abf","L5","Pyr","Lihua","X2014.05.20","2014-05-20 16:58:02.684",-77.9571550627907,0.732423617478204,FALSE,"",FALSE
"38","14605300.abf","L5","Int","Lihua","X2014.06.05","2014-06-05 15:29:57.490",-71.7773453543487,3.57055824497371,FALSE,"",FALSE
"39","14605338.abf","L5","Int","Lihua","X2014.06.05","2014-06-05 17:20:23.981",NA,0,FALSE,"",FALSE
"40","14617300.abf","L5","Int","Lihua","X2014.06.17","2014-06-17 12:12:01.211",-66.4215102736989,3.1433120315114,FALSE,"",FALSE
"41","14617312.abf","L5","Int","Lihua","X2014.06.17","2014-06-17 13:01:38.079",-71.9604508271914,2.13623207719141,FALSE,"",FALSE
"42","14624300.abf","L5","Pyr","Lihua","X2014.06.24","2014-06-24 12:31:20.401",-72.7844254549837,2.2430436190462,FALSE,"",FALSE
"43","14624325.abf","L5","Pyr","Lihua","X2014.06.24","2014-06-24 14:25:55.643",-78.1402605356334,1.3580339731334,FALSE,"",FALSE
"44","14624359.abf","L5","Pyr","Lihua","X2014.06.24","2014-06-24 16:30:09.939",-72.98278971723,0.762941084417506,FALSE,"",FALSE
"45","14624371.abf","L5","Pyr","Lihua","X2014.06.24","2014-06-24 16:45:53.067",-77.5756853277017,0.274659937076706,FALSE,"",FALSE
"46","14626300.abf","L5","Pyr","Lihua","X2014.06.26","2014-06-26 12:56:55.962",-65.4754653306782,1.7089858384907,FALSE,"",TRUE
"47","14715300.abf","L5","Pyr","Lihua","X2014.07.15","2014-07-15 17:33:24.591",-73.3032242947047,0.259401052517205,FALSE,"",FALSE
"48","14715334.abf","L5","Pyr","Lihua","X2014.07.15","2014-07-15 19:03:13.250",-75.1800553913427,1.68040520520663e-06,FALSE,"",TRUE
"49","14911303.abf","L5","Pyr","Lihua","X2014.09.11","2014-09-11 17:24:48.350",-68.3898941067582,0.854493716133206,FALSE,"",FALSE
"50","14918300.abf","L5","Pyr","Lihua","X2014.09.18","2014-09-18 13:32:31.669",-64.3615737042183,1.43859328716189e-06,FALSE,"",FALSE
"51","14918302.abf","L5","Pyr","Lihua","X2014.09.18","2014-09-18 14:17:53.435",-69.580079680236,2.746583586486,FALSE,"",FALSE
"52","14918344.abf","L5","Pyr","Lihua","X2014.09.18","2014-09-18 17:19:45.325",-74.1424577119006,0.99182294627559,FALSE,"",TRUE
"53","14918371.abf","L5","Int","Lihua","X2014.09.18","2014-09-18 18:01:16.107",-65,3.42041015625,FALSE,"",FALSE
