"","cell_id","clampfit_gain","resp_offset","resp_channel_name","command_channel_name","expt_date","layer_name","cell_type","recorder_name","subject_id","rmp"
"1","13n05011.abf","50X",0,"200B_IC","No command signal",2013-11-05,"L5","Pyr","Homeira","X2013.11.05",-54.9377415312223
"2","13n21007.abf","20X",0,"200B_IC","No command signal",2013-11-21,"L5","Pyr","Homeira","X2013.11.21",-59.158322385443
"3","13d02004.abf","50X",0,"200B_IC","No command signal",2013-12-02,"L5","Pyr","Homeira","X2013.12.02",-59.069821413084
"4","13d02022.abf","50X",0,"200B_IC","No command signal",2013-12-02,"L5","Pyr","Homeira","X2013.12.02",-64.4287078773006
"5","13d02049.abf","50X",0,"200B_IC","No command signal",2013-12-02,"L5","Pyr","Homeira","X2013.12.02",-57
"6","13d03005.abf","50X",0,"200B_IC","No command signal",2013-12-03,"L5","Pyr","Homeira","X2013.12.03",-63.714596583094
"7","13d03007.abf","50X",0,"200B_IC","No command signal",2013-12-03,"L5","Pyr","Homeira","X2013.12.03",-56.4636203649969
"8","13d03008.abf","50X",0,"200B_IC","No command signal",2013-12-03,"L5","Pyr","Homeira","X2013.12.03",-59.3200655418231
"9","13d03029.abf","50X",0,"200B_IC","No command signal",2013-12-03,"L5","Pyr","Homeira","X2013.12.03",-56.4636203649969
"10","13d03040.abf","50X",0,"200B_IC","No command signal",2013-12-03,"L5","Pyr","Homeira","X2013.12.03",-60
"11","20131211_600_1_0002.abf","50X",0,"200B_IC","IN 10  (mV)",2013-12-11,"L5","Pyr","Homeira","X2013.12.11",-62.3596161787022
"12","20131211_600_1_0042.abf","50X",0,"200B_IC","IN 10  (mV)",2013-12-11,"L5","Pyr","Homeira","X2013.12.11",-59.2
"13","20131211_600_1_0066.abf","50X",0,"200B_IC","IN 10  (mV)",2013-12-11,"L5","Pyr","Homeira","X2013.12.11",-70.1415982309529
"14","20131211_600_1_0067.abf","50X",0,"200B_IC","IN 10  (mV)",2013-12-11,"L5","Pyr","Homeira","X2013.12.11",-58.4
"15","20131211_600_1_0081.abf","50X",0,"200B_IC","IN 10  (mV)",2013-12-11,"L5","Pyr","Homeira","X2013.12.11",-59.4
"16","20131211_600_1_0108.abf","50X",0,"200B_IC","IN 10  (mV)",2013-12-11,"L5","Pyr","Homeira","X2013.12.11",-65
"17","20131211_600_1_0160.abf","50X",0,"200B_IC","IN 10  (mV)",2013-12-11,"L5","Pyr","Homeira","X2013.12.11",-62
"18","20131211_600_1_0184.abf","50X",0,"200B_IC","IN 10  (mV)",2013-12-11,"L5","Pyr","Homeira","X2013.12.11",-62.6220673381114
"19","20131211_600_1_0190.abf","50X",0,"200B_IC","IN 10  (mV)",2013-12-11,"L5","Pyr","Homeira","X2013.12.11",-67.8
"20","20140127_600_1_0118.abf","50X",0,"200B_IC","IN 10  (mV)",2014-01-27,"L5","Pyr","Homeira","X2014.01.27",-65
"21","20140127_600_1_0158.abf","50X",0,"200B_IC","IN 10  (mV)",2014-01-27,"L5","Pyr","Homeira","X2014.01.27",-72.2839321135724
"22","14304300.abf","1 X",0,"I_MT est2","No Command signal",2014-03-04,"L2.3","Pyr","Lihua","X2014.03.04",-63.3850111823904
"23","14306300.abf","1X",0,"I_MT est2","No Command signal",2014-03-06,"L2.3","Int","Lihua","X2014.03.06",-72
"24","14317300.abf","2X",0,"I_MT est2","No Command signal",2014-03-17,"L2.3","Pyr","Lihua","X2014.03.17",-74.8138444456572
"25","14317320.abf","2X",0,"I_MT est2","No Command signal",2014-03-17,"L2.3","Pyr","Lihua","X2014.03.17",-73.989869817865
"26","14317348.abf","2X",0,"I_MT est2","No Command signal",2014-03-17,"L2.3","Pyr","Lihua","X2014.03.17",-73.364259452319
"27","14317333.abf","2X",0,"I_MT est2","No Command signal",2014-03-17,"L2.3","Pyr","Lihua","X2014.03.17",NA
"28","14318308.abf","2X",0,"I_MT est2","No Command signal",2014-03-18,"L2.3","Pyr","Lihua","X2014.03.18",-72.7691666655801
"29","14408304.abf","2X",0,"I_MT est2","No Command signal",2014-04-08,"L2.3","Pyr","Lihua","X2014.04.08",-77.3010271184376
"30","14424000.abf","2X",0,"I_MT est1","No command signal",2014-04-22,"L5","Pyr","Lihua","X2014.04.22",-74.0356461860756
"31","14424329.abf","2X",0,"I_MT est1","No command signal",2014-04-22,"L5","Pyr","Lihua","X2014.04.22",-74.0203873966721
"32","14424335.abf","2X",0,"I_MT est2","No command signal",2014-04-22,"L5","Pyr","Lihua","X2014.04.22",-72.2198502470519
"33","14515300.abf","2X",0,"I_MT est1","No command signal",2014-05-15,"L5","Pyr","Lihua","X2014.05.15",-69.7631851530787
"34","14515323.abf","2X",0,"I_MT est2","No command signal",2014-05-15,"L5","Pyr","Lihua","X2014.05.15",-68.7255874736366
"35","14515374.abf","5X",0,"I_MT est2","No command signal",2014-05-15,"L5","Pyr","Lihua","X2014.05.15",-66.7236343038894
"36","14515399.abf","2X",0,"I_MT est2","No command signal",2014-05-15,"L5","Pyr","Lihua","X2014.05.15",-76.5
"37","14520300.abf","2X",0,"I_MT est1","No command signal",2014-05-20,"L5","Pyr","Lihua","X2014.05.20",-75.1037614443249
"38","14520332.abf","2X",0,"I_MT est1","No command signal",2014-05-20,"L5","Pyr","Lihua","X2014.05.20",-77.9571550627907
"39","14605300.abf","2X",0,"I_MT est1","No command signal",2014-06-05,"L5","Int","Lihua","X2014.06.05",-71.7773453543487
"40","14605325.abf","2X",0,"I_MT est1","No command signal",2014-06-05,"L5",NA,"Lihua","X2014.06.05",NA
"41","14605338.abf","2X",0,"I_MT est1","No command signal",2014-06-05,"L5",NA,"Lihua","X2014.06.05",NA
"42","14617300.abf","2X",0,"I_MT est1","No command signal",2014-06-17,"L5","Int","Lihua","X2014.06.17",-66.4215102736989
"43","14617312.abf","2X",0,"I_MT est1","No command signal",2014-06-17,"L5","Int","Lihua","X2014.06.17",-71.9604508271914
"44","14624300.abf","2X",0,"I_MT est2","No command signal",2014-06-24,"L5","Pyr","Lihua","X2014.06.24",-72.7844254549837
"45","14624325.abf","2X",0,"I_MT est1","No command signal",2014-06-24,"L5","Pyr","Lihua","X2014.06.24",-78.1402605356334
"46","14624359.abf","2X",0,"I_MT est2","No command signal",2014-06-24,"L5","Pyr","Lihua","X2014.06.24",-72.98278971723
"47","14624371.abf","2X",0,"I_MT est2","No command signal",2014-06-24,"L5","Pyr","Lihua","X2014.06.24",-77.5756853277017
"48","14626300.abf","2X",0,"I_MT est2","No command signal",2014-06-26,"L5","Pyr","Lihua","X2014.06.26",-65.4754653306782
"49","14715300.abf","2X",0,"I_MT est2","No command signal",2014-07-15,"L5","Pyr","Lihua","X2014.07.15",-73.3032242947047
"50","14715334.abf","2X",0,"I_MT est2","No command signal",2014-07-15,"L5","Pyr","Lihua","X2014.07.15",-75.1800553913427
"51","14911303.abf","2X",0,"I_MT est2","No command signal",2014-09-11,"L5","Pyr","Lihua","X2014.09.11",-68.3898941067582
"52","14918300.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",-64.3615737042183
"53","14918302.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",-69.580079680236
"54","14918344.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",-74.1424577119006
"55","14918371.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",-65
"56","14918305.abf","2X",0,"I_MT est2","No command signal",2014-09-18,"L5","Pyr","Lihua","X2014.09.18",NA
"57","14n03328.abf","2X",0,"I_MT est2","No command signal",2014-11-03,"L5","Pyr","Lihua","X2014.11.03",-75.6378190734495
"58","14n03301.abf","2X",0,"I_MT est2","No command signal",2014-11-03,"L5","Pyr","Lihua","X2014.11.03",NA
"59","14n03358.abf","2X",0,"I_MT est1","No command signal",2014-11-03,"L5","Pyr","Lihua","X2014.11.03",-75
"60","14n04322.abf","2X",0,"I_MT est2","No command signal",2014-11-04,"L5","Int","Lihua","X2014.11.04",-70.4345718868354
